"filename", "language", "JSON", "HTML", "Ignore", "JavaScript", "JSON with Comments", "TypeScript", "SCSS", "BibTeX", "LaTeX", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\projectCode\online-programming-learning-platform\src\components\Card\NavgationCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 2, 5, 68
"d:\projectCode\online-programming-learning-platform\src\components\Card\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 1, 7, 80
"d:\projectCode\online-programming-learning-platform\src\components\Card\ProblemCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\projectCode\online-programming-learning-platform\src\components\Card\RemarkCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 10, 114
"d:\projectCode\online-programming-learning-platform\src\components\Card\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 7, 17, 156
"d:\projectCode\online-programming-learning-platform\src\components\Collapse\MyCollapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\projectCode\online-programming-learning-platform\src\components\Community\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 25
"d:\projectCode\online-programming-learning-platform\src\components\Editor\CodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 1, 19, 403
"d:\projectCode\online-programming-learning-platform\src\components\Editor\CodeEditorConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 11, 176
"d:\projectCode\online-programming-learning-platform\src\components\Editor\Highlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\projectCode\online-programming-learning-platform\src\components\Editor\LanguageList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 1, 10, 94
"d:\projectCode\online-programming-learning-platform\src\components\Editor\ReadOnly.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 54
"d:\projectCode\online-programming-learning-platform\src\components\Editor\TextEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 1, 11, 97
